Author_ID|Author_name|Comment_number|Sentence_number|Domain_Relevance|Sentiment|Entity|Attribute|Sentence|Source_file|Annotator
Matthew-Petrucci|Matthew Petrucci|414|9|9|0|f|h|Consider that there are myriad varieties of natural pest control measures used by organic-certified farms including oil-based suffocants, which - granted - are a fair bit more expensive than conventional pesticides, but work equally well.|quora.json|fahad
Matthew-Petrucci|Matthew Petrucci|414|10|9|0|cf|c|Most supermarket/greengrocer tomatoes are grown in hydroponic systems in sealed greenhouses or similar constructions, which are closed-off against pests.|quora.json|fahad
Matthew-Petrucci|Matthew Petrucci|414|11|0|nan|nan|nan|These facilities are regularly sprayed and controlled, whether by organic or non-organic means.|quora.json|fahad
Matthew-Petrucci|Matthew Petrucci|414|12|9|0|cp|h|Especially in the U.S. tomatoes (among other foods) are being irradiated, with the 'intention' of reducing food poisoning and rendering larvae and eggs inert.|quora.json|fahad
Matthew-Petrucci|Matthew Petrucci|414|13|9|0|p|h|Remember, you are paying a premium for organic food because of the absence of synthetic fertilisers, chemical sprays, insecticides and pesticides, among other measures.|quora.json|fahad
Matthew-Petrucci|Matthew Petrucci|414|14|9|0|f|h|Nevertheless, organic foods are generally still sprayed for the sake of crop preservation, with substances on an 'permitted' list.|quora.json|fahad
Matthew-Petrucci|Matthew Petrucci|414|15|9|0|cf|g|Let's not forget that humans have successfully cultivated crops without synthetics for thousands of years, using 'natural' methods (such as mesh bags) that we are beginning to see a resurgence in use with avid home gardeners.|quora.json|fahad
"Michael-Graham-4|Michael Graham|415|1|9|n|gg|s|""Verbatim from: <URL>"""" HOW TO AVOID CONSUMING GMO’S WHEN EATING OUT: Unless labeled or listed organic (or from a reputable local farm the restaurant can verify doesn’t use GMO seeds or feed)"," I suggest avoiding these 8 genetically modified (GM) foods when dining out: Corn Soy Sugar (beet sugar – i.e.""|quora.json|fahad"
Michael-Graham-4|Michael Graham|415|2|9|n|gg|s|refined sugar) Papayas (from Hawaii) Canola Cotton (cottonseed oil) Dairy (conventional American cow’s milk and cheese) Zucchini/Yellow Squash Conventional Meat (They are fed GM corn & soy) GM corn, soy and canola oil are the cheapest for restaurants to purchase.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|3|9|0|gg|g|Ask your server about the oils they use to make your food – this is where GMOs are hidden in almost everything from salad dressings to soups to pan or deep fried items.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|4|0|nan|nan|nan|Know the exceptions: Ask if the cheese is imported.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|5|0|nan|nan|nan|A cheese from France means you are safe from rbGH – genetically engineered growth hormone and genetically modified ingredients, as this country has banned GMOs all together.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|5|9|p|gg|q|A cheese from France means you are safe from rbGH – genetically engineered growth hormone and genetically modified ingredients, as this country has banned GMOs all together.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|6|9|n|gg|g|Look out for these hidden GM ingredients: Amino Acids, Aspartame, Ascorbic Acid, Sodium Ascorbate, Vitamin C, Citric Acid, Sodium Citrate, Flavorings (“natural” and “artificial”), High Fructose Corn Syrup, Hydrolyzed Vegetable Protein, Lactic Acid, Maltodextrins, Molasses, Monosodium Glutamate, Sucrose, Textured Vegetable Protein (TVP), Xanthan Gum, Vitamins, Yeast Products.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|7|9|0|gg|g|Unless the sugar they use to make desserts is 100% pure cane, it’s likely from GM sugar beets Consider having the Non-GMO Shopping Guide in your purse or pocket that has a list of GM ingredients that you want to avoid and give it to your waiter or even call ahead.|quora.json|fahad
Michael-Graham-4|Michael Graham|415|8|0|nan|nan|nan|If more people did this, maybe restaurants would start to pay more attention to the products they buy.|quora.json|fahad
"Michael-Graham-4|Michael Graham|415|9|0|nan|nan|nan|""Non-GMO Shopping Guide: <URL>""""""|quora.json|fahad"
